model_family,model_name,run_group,training_strategy,pretrained,seed,split,augmentation,max_epochs,epochs_trained,best_epoch,accuracy,precision_macro,recall_macro,f1_macro,best_val_accuracy,learning_rate,weight_decay,batch_size,early_stopping,status,recommendation,notes,checkpoint,metrics_file,confusion_matrix_figure,training_curve_figure
resnet18,ResNet18 frozen feature extractor,resnet18_pretrained_frozen_no_aug,frozen pretrained feature extractor,True,,original split_manifest.csv,none,10,10,,0.9946428571428572,0.9946808510638299,0.9946428571428572,0.9946427199877109,0.9946428571428572,0.001,,32,no,loaded,baseline,First transfer-learning baseline without stochastic augmentation.,model/resnet18_frozen.pt,reports/resnet18_frozen/metrics.json,reports/resnet18_frozen/confusion_matrix.png,reports/resnet18_frozen/training_curves.png
resnet18,ResNet18 frozen feature extractor augmented,resnet18_pretrained_frozen_augmented,frozen pretrained feature extractor,True,,original split_manifest.csv,"training-only RandomResizedCrop, flip, rotation, ColorJitter",10,10,,0.9946428571428572,0.9947058235940466,0.9946428571428572,0.9946296894118706,0.9946428571428572,0.001,,32,no,loaded,augmentation comparison,Frozen-feature follow-up run with training-only augmentation.,model/resnet18_frozen_augmented.pt,reports/resnet18_frozen_augmented/metrics.json,reports/resnet18_frozen_augmented/confusion_matrix.png,reports/resnet18_frozen_augmented/training_curves.png
resnet18,ResNet18 fine-tuned last block,resnet18_pretrained_finetune_last_block_original_split,pretrained layer4 plus classifier fine-tuning,True,,original split_manifest.csv,"training-only RandomResizedCrop, flip, rotation, ColorJitter",10,10,1,1.0,1.0,1.0,1.0,1.0,layer4=0.0001; classifier=0.001,0.01,32,no,loaded,strong baseline,Original-split fine-tuned transfer-learning run.,model/resnet18_finetune_last_block.pt,reports/resnet18_finetune_last_block/resnet18_finetune_last_block/metrics.json,reports/resnet18_finetune_last_block/resnet18_finetune_last_block/confusion_matrix.png,reports/resnet18_finetune_last_block/resnet18_finetune_last_block/training_curves.png
resnet18,ResNet18 fine-tuned last block held-out val12,resnet18_pretrained_finetune_last_block_heldout_val12,pretrained layer4 plus classifier fine-tuning,True,,downloaded held-out validation set data/val 12,none at evaluation,,,,1.0,1.0,1.0,1.0,1.0,,,,no,loaded,held-out validation evidence,Final-facing held-out validation result on the provided same-source validation set; avoid presenting as proof of real-world generalization.,model/resnet18_finetune_last_block.pt,reports/resnet18_finetune_last_block_heldout_val12_eval/metrics.json,reports/resnet18_finetune_last_block_heldout_val12_eval/confusion_matrix.png,
resnet18,ResNet18 fine-tuned last block strict split,resnet18_pretrained_finetune_last_block_strict,pretrained layer4 plus classifier fine-tuning,True,42,strict contiguous split seed 42,"training-only RandomResizedCrop, flip, rotation, ColorJitter",10,10,4,1.0,1.0,1.0,1.0,1.0,layer4=0.0001; classifier=0.001,0.01,32,no,loaded,headline transfer-learning comparison,Strict split transfer-learning run for seed robustness comparison.,model/resnet18_finetune_last_block_strict_seed42.pt,reports/resnet18_finetune_last_block/resnet18_finetune_last_block_strict_seed42/metrics.json,reports/resnet18_finetune_last_block/resnet18_finetune_last_block_strict_seed42/confusion_matrix.png,reports/resnet18_finetune_last_block/resnet18_finetune_last_block_strict_seed42/training_curves.png
resnet18,ResNet18 from scratch strict split,resnet18_scratch_20ep_strict,"random initialization, full network trainable",False,42,strict contiguous split seed 42,"training-only RandomResizedCrop, flip, rotation, ColorJitter",20,20,18,0.9964285714285714,0.9964539007092199,0.9964285714285714,0.9964285258740545,0.9964285714285714,0.0003,0.01,32,yes; monitor=val_loss; stopped_early=False; stop_epoch=None,loaded,diagnostic scratch comparison,20-epoch scratch run used to compare against pretrained ResNet18.,model/resnet18_scratch_strict_seed42.pt,reports/resnet18_scratch/resnet18_scratch_strict_seed42/metrics.json,reports/resnet18_scratch/resnet18_scratch_strict_seed42/confusion_matrix.png,reports/resnet18_scratch/resnet18_scratch_strict_seed42/training_curves.png
resnet18,ResNet18 from scratch 50ep early-stopped strict split,resnet18_scratch_50ep_early_stopped_strict,"random initialization, full network trainable",False,42,strict contiguous split seed 42,"training-only RandomResizedCrop, flip, rotation, ColorJitter",50,28,18,0.9946428571428572,0.9947058235940466,0.9946428571428572,0.994642652140558,0.9946428571428572,0.0003,0.01,32,yes; monitor=val_loss; stopped_early=True; stop_epoch=28,loaded,preferred scratch diagnostic,50-epoch maximum scratch run with early stopping on validation loss.,model/resnet18_scratch_50ep_es_strict_seed42.pt,reports/resnet18_scratch/resnet18_scratch_50ep_es_strict_seed42/metrics.json,reports/resnet18_scratch/resnet18_scratch_50ep_es_strict_seed42/confusion_matrix.png,reports/resnet18_scratch/resnet18_scratch_50ep_es_strict_seed42/training_curves.png
resnet18,ResNet18 fine-tuned last block strict split,resnet18_pretrained_finetune_last_block_strict,pretrained layer4 plus classifier fine-tuning,True,123,strict contiguous split seed 123,"training-only RandomResizedCrop, flip, rotation, ColorJitter",10,10,5,0.9928571428571429,0.9929577464788732,0.9928571428571429,0.9928307123034228,0.9928571428571429,layer4=0.0001; classifier=0.001,0.01,32,no,loaded,headline transfer-learning comparison,Strict split transfer-learning run for seed robustness comparison.,model/resnet18_finetune_last_block_strict_seed123.pt,reports/resnet18_finetune_last_block/resnet18_finetune_last_block_strict_seed123/metrics.json,reports/resnet18_finetune_last_block/resnet18_finetune_last_block_strict_seed123/confusion_matrix.png,reports/resnet18_finetune_last_block/resnet18_finetune_last_block_strict_seed123/training_curves.png
resnet18,ResNet18 from scratch strict split,resnet18_scratch_20ep_strict,"random initialization, full network trainable",False,123,strict contiguous split seed 123,"training-only RandomResizedCrop, flip, rotation, ColorJitter",20,20,16,0.9910714285714286,0.9910714285714286,0.9910714285714286,0.9910714285714286,0.9910714285714286,0.0003,0.01,32,yes; monitor=val_loss; stopped_early=False; stop_epoch=None,loaded,diagnostic scratch comparison,20-epoch scratch run used to compare against pretrained ResNet18.,model/resnet18_scratch_strict_seed123.pt,reports/resnet18_scratch/resnet18_scratch_strict_seed123/metrics.json,reports/resnet18_scratch/resnet18_scratch_strict_seed123/confusion_matrix.png,reports/resnet18_scratch/resnet18_scratch_strict_seed123/training_curves.png
resnet18,ResNet18 from scratch 50ep early-stopped strict split,resnet18_scratch_50ep_early_stopped_strict,"random initialization, full network trainable",False,123,strict contiguous split seed 123,"training-only RandomResizedCrop, flip, rotation, ColorJitter",50,20,3,0.9821428571428571,0.9825032128983263,0.9821428571428572,0.9820988318251093,0.9821428571428571,0.0003,0.01,32,yes; monitor=val_loss; stopped_early=True; stop_epoch=20,loaded,preferred scratch diagnostic,50-epoch maximum scratch run with early stopping on validation loss.,model/resnet18_scratch_50ep_es_strict_seed123.pt,reports/resnet18_scratch/resnet18_scratch_50ep_es_strict_seed123/metrics.json,reports/resnet18_scratch/resnet18_scratch_50ep_es_strict_seed123/confusion_matrix.png,reports/resnet18_scratch/resnet18_scratch_50ep_es_strict_seed123/training_curves.png
resnet18,ResNet18 fine-tuned last block strict split,resnet18_pretrained_finetune_last_block_strict,pretrained layer4 plus classifier fine-tuning,True,999,strict contiguous split seed 999,"training-only RandomResizedCrop, flip, rotation, ColorJitter",10,10,1,1.0,1.0,1.0,1.0,1.0,layer4=0.0001; classifier=0.001,0.01,32,no,loaded,headline transfer-learning comparison,Strict split transfer-learning run for seed robustness comparison.,model/resnet18_finetune_last_block_strict_seed999.pt,reports/resnet18_finetune_last_block/resnet18_finetune_last_block_strict_seed999/metrics.json,reports/resnet18_finetune_last_block/resnet18_finetune_last_block_strict_seed999/confusion_matrix.png,reports/resnet18_finetune_last_block/resnet18_finetune_last_block_strict_seed999/training_curves.png
resnet18,ResNet18 from scratch strict split,resnet18_scratch_20ep_strict,"random initialization, full network trainable",False,999,strict contiguous split seed 999,"training-only RandomResizedCrop, flip, rotation, ColorJitter",20,20,12,0.9982142857142857,0.99822695035461,0.9982142857142857,0.9982142629370272,0.9982142857142857,0.0003,0.01,32,yes; monitor=val_loss; stopped_early=False; stop_epoch=None,loaded,diagnostic scratch comparison,20-epoch scratch run used to compare against pretrained ResNet18.,model/resnet18_scratch_strict_seed999.pt,reports/resnet18_scratch/resnet18_scratch_strict_seed999/metrics.json,reports/resnet18_scratch/resnet18_scratch_strict_seed999/confusion_matrix.png,reports/resnet18_scratch/resnet18_scratch_strict_seed999/training_curves.png
resnet18,ResNet18 from scratch 50ep early-stopped strict split,resnet18_scratch_50ep_early_stopped_strict,"random initialization, full network trainable",False,999,strict contiguous split seed 999,"training-only RandomResizedCrop, flip, rotation, ColorJitter",50,22,12,0.9910714285714286,0.991243961352657,0.9910714285714286,0.9910896362419378,0.9910714285714286,0.0003,0.01,32,yes; monitor=val_loss; stopped_early=True; stop_epoch=22,loaded,preferred scratch diagnostic,50-epoch maximum scratch run with early stopping on validation loss.,model/resnet18_scratch_50ep_es_strict_seed999.pt,reports/resnet18_scratch/resnet18_scratch_50ep_es_strict_seed999/metrics.json,reports/resnet18_scratch/resnet18_scratch_50ep_es_strict_seed999/confusion_matrix.png,reports/resnet18_scratch/resnet18_scratch_50ep_es_strict_seed999/training_curves.png
convnextv2_tiny,ConvNeXtV2 Tiny pretrained linear probe,convnextv2_pretrained_linear_probe,pretrained backbone with classifier/linear probe,True,,local tune split from pretrained artifact,training-only augmentation in timm workflow,,,6,0.9982142857142857,0.99822695035461,0.9982142857142857,0.9982142629370272,0.9982142857142857,,,,no,loaded,comparison only,Pretrained ConvNeXt linear-probe artifact from teammate/local workflow.,model/convnextv2_tiny_fcmae_ft_in1k_linear_probe/best_model.pt,model/convnextv2_tiny_fcmae_ft_in1k_linear_probe/best_tune_metrics.json,,
convnextv2_tiny,ConvNeXtV2 Tiny pretrained linear probe seed123,convnextv2_pretrained_linear_probe,pretrained backbone with classifier/linear probe,True,123,local tune split from pretrained artifact,training-only augmentation in timm workflow,,,4,1.0,1.0,1.0,1.0,1.0,,,,no,loaded,comparison only,Second pretrained ConvNeXt linear-probe artifact.,model/convnextv2_tiny_fcmae_ft_in1k_linear_probe_seed123/best_model.pt,model/convnextv2_tiny_fcmae_ft_in1k_linear_probe_seed123/best_tune_metrics.json,,
convnextv2_tiny,ConvNeXtV2 Tiny pretrained fine-tune,convnextv2_pretrained_finetune_suspect,pretrained full fine-tuning,True,,local tune split from pretrained artifact,training-only augmentation in timm workflow,,,1,1.0,1.0,1.0,1.0,1.0,,,,no,loaded,comparison only,"Local tune artifact reports high accuracy, but this run needs held-out validation before use as headline evidence.",model/convnextv2_tiny_fcmae_ft_in1k_finetune/best_model.pt,model/convnextv2_tiny_fcmae_ft_in1k_finetune/best_tune_metrics.json,,
convnextv2_tiny,ConvNeXtV2 Tiny from scratch 50ep early-stopped strict split,convnextv2_scratch_50ep_early_stopped_strict,"random initialization, full network trainable",False,42,strict contiguous split seed 42,"training-only RandomResizedCrop, flip, rotation, ColorJitter",50,29,27,0.9910714285714286,0.9911329289606251,0.9910714285714286,0.9910452079824883,0.9910714285714286,0.0003,0.05,16,yes; monitor=val_loss; stopped_early=True; stop_epoch=29,loaded,scratch ConvNeXt comparison,50-epoch maximum scratch run with early stopping on validation loss.,model/convnextv2_tiny_scratch_50ep_es_strict_seed42.pt,reports/convnextv2_scratch/convnextv2_tiny_scratch_50ep_es_strict_seed42/metrics.json,reports/convnextv2_scratch/convnextv2_tiny_scratch_50ep_es_strict_seed42/confusion_matrix.png,reports/convnextv2_scratch/convnextv2_tiny_scratch_50ep_es_strict_seed42/training_curves.png
convnextv2_tiny,ConvNeXtV2 Tiny from scratch 50ep early-stopped strict split,convnextv2_scratch_50ep_early_stopped_strict,"random initialization, full network trainable",False,123,strict contiguous split seed 123,"training-only RandomResizedCrop, flip, rotation, ColorJitter",50,32,22,0.9571428571428572,0.957789539421948,0.9571428571428572,0.9571090043837636,0.9571428571428572,0.0003,0.05,16,yes; monitor=val_loss; stopped_early=True; stop_epoch=32,loaded,scratch ConvNeXt comparison,50-epoch maximum scratch run with early stopping on validation loss.,model/convnextv2_tiny_scratch_50ep_es_strict_seed123.pt,reports/convnextv2_scratch/convnextv2_tiny_scratch_50ep_es_strict_seed123/metrics.json,reports/convnextv2_scratch/convnextv2_tiny_scratch_50ep_es_strict_seed123/confusion_matrix.png,reports/convnextv2_scratch/convnextv2_tiny_scratch_50ep_es_strict_seed123/training_curves.png
convnextv2_tiny,ConvNeXtV2 Tiny from scratch 50ep early-stopped strict split,convnextv2_scratch_50ep_early_stopped_strict,"random initialization, full network trainable",False,999,strict contiguous split seed 999,"training-only RandomResizedCrop, flip, rotation, ColorJitter",50,22,12,0.9785714285714285,0.9792786542324008,0.9785714285714285,0.9785613748256801,0.9785714285714285,0.0003,0.05,16,yes; monitor=val_loss; stopped_early=True; stop_epoch=22,loaded,scratch ConvNeXt comparison,50-epoch maximum scratch run with early stopping on validation loss.,model/convnextv2_tiny_scratch_50ep_es_strict_seed999.pt,reports/convnextv2_scratch/convnextv2_tiny_scratch_50ep_es_strict_seed999/metrics.json,reports/convnextv2_scratch/convnextv2_tiny_scratch_50ep_es_strict_seed999/confusion_matrix.png,reports/convnextv2_scratch/convnextv2_tiny_scratch_50ep_es_strict_seed999/training_curves.png
